linked_server,db,table,column_id,column,type,max_length,is_nullable
FAKIEH_SERVER1,SimaticBatch,Batch,1,ROOTGUID,uniqueidentifier,16,False
FAKIEH_SERVER1,SimaticBatch,Batch,2,ROOTOBJID,int,4,False
FAKIEH_SERVER1,SimaticBatch,Batch,3,ROOTOTID,int,4,False
FAKIEH_SERVER1,SimaticBatch,Batch,4,OGUID,uniqueidentifier,16,False
FAKIEH_SERVER1,SimaticBatch,Batch,5,OBJID,int,4,False
FAKIEH_SERVER1,SimaticBatch,Batch,6,OTID,int,4,False
FAKIEH_SERVER1,SimaticBatch,Batch,7,Created,datetimeoffset,9,False
FAKIEH_SERVER1,SimaticBatch,Batch,8,ExAttribute,nvarchar,-1,True
FAKIEH_SERVER1,SimaticBatch,Batch,9,Quantity,float,8,True
FAKIEH_SERVER1,SimaticBatch,Batch,10,ProductName,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,Batch,11,ProductCode,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,Batch,12,ProductGUID,uniqueidentifier,16,True
FAKIEH_SERVER1,SimaticBatch,Batch,13,ProductUoMId,int,4,True
FAKIEH_SERVER1,SimaticBatch,Batch,14,FormulaCategoryName,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,Batch,15,FormulaName,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,Batch,16,FormulaVersion,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,Batch,17,FormulaGUID,uniqueidentifier,16,True
FAKIEH_SERVER1,SimaticBatch,Batch,18,FormulaId,int,4,True
FAKIEH_SERVER1,SimaticBatch,Batch,19,MRecipeName,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,Batch,20,MRecipeVersion,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,Batch,21,MRecipeGUID,uniqueidentifier,16,True
FAKIEH_SERVER1,SimaticBatch,Batch,22,MRecipeId,int,4,True
FAKIEH_SERVER1,SimaticBatch,Batch,23,OrderId,int,4,True
FAKIEH_SERVER1,SimaticBatch,Batch,24,PlanEnd,datetimeoffset,9,True
FAKIEH_SERVER1,SimaticBatch,Batch,25,PCellGUID,uniqueidentifier,16,True
FAKIEH_SERVER1,SimaticBatch,Batch,26,PCellId,int,4,True
FAKIEH_SERVER1,SimaticBatch,Batch,27,PartId,int,4,True
FAKIEH_SERVER1,SimaticBatch,Batch,28,BatchReleaseGroupId,int,4,True
FAKIEH_SERVER1,SimaticBatch,Batch,29,CreationDateTime,datetimeoffset,9,True
FAKIEH_SERVER1,SimaticBatch,Batch,30,BatchHasNoTags,bit,1,True
FAKIEH_SERVER1,SimaticBatch,Batch,31,BatchVersion,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,Batch,32,LastOSCDateTime,datetimeoffset,9,True
FAKIEH_SERVER1,SimaticBatch,Batch,33,MarkByOSC,bit,1,True
FAKIEH_SERVER1,SimaticBatch,Batch,34,BatchTransferTime,datetimeoffset,9,True
FAKIEH_SERVER1,SimaticBatch,Batch,35,InternalSettings,nvarchar,-1,True
FAKIEH_SERVER1,SimaticBatch,BatchChanges,1,OGUID,uniqueidentifier,16,False
FAKIEH_SERVER1,SimaticBatch,BatchChanges,2,OBJID,int,4,False
FAKIEH_SERVER1,SimaticBatch,BatchChanges,3,EventID,bigint,8,False
FAKIEH_SERVER1,SimaticBatch,BatchChanges,4,Name,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,BatchChanges,5,Description,nvarchar,-1,True
FAKIEH_SERVER1,SimaticBatch,BatchChanges,6,Deleted,bit,1,True
FAKIEH_SERVER1,SimaticBatch,BatchChanges,7,PredecessorBatchId,int,4,True
FAKIEH_SERVER1,SimaticBatch,BatchChanges,8,ChainMode,int,4,True
FAKIEH_SERVER1,SimaticBatch,BatchChanges,9,ChainIgnorePredecessorState,bit,1,True
FAKIEH_SERVER1,SimaticBatch,BatchChanges,10,ActQuantity,float,8,True
FAKIEH_SERVER1,SimaticBatch,BatchChanges,11,ReleaseTime,datetimeoffset,9,True
FAKIEH_SERVER1,SimaticBatch,BatchChanges,12,PlanStart,datetimeoffset,9,True
FAKIEH_SERVER1,SimaticBatch,BatchChanges,13,ActStart,datetimeoffset,9,True
FAKIEH_SERVER1,SimaticBatch,BatchChanges,14,ActEnd,datetimeoffset,9,True
FAKIEH_SERVER1,SimaticBatch,BatchChanges,15,StartMode,int,4,True
FAKIEH_SERVER1,SimaticBatch,BatchChanges,16,State,int,4,True
FAKIEH_SERVER1,SimaticBatch,BatchChanges,17,ExState,int,4,True
FAKIEH_SERVER1,SimaticBatch,BatchChanges,18,ModificationDateTime,datetimeoffset,9,True
FAKIEH_SERVER1,SimaticBatch,BatchChanges,19,GapTime,int,4,True
FAKIEH_SERVER1,SimaticBatch,Order,1,ROOTGUID,uniqueidentifier,16,False
FAKIEH_SERVER1,SimaticBatch,Order,2,ROOTOBJID,int,4,False
FAKIEH_SERVER1,SimaticBatch,Order,3,ROOTOTID,int,4,False
FAKIEH_SERVER1,SimaticBatch,Order,4,OGUID,uniqueidentifier,16,False
FAKIEH_SERVER1,SimaticBatch,Order,5,OBJID,int,4,False
FAKIEH_SERVER1,SimaticBatch,Order,6,OTID,int,4,False
FAKIEH_SERVER1,SimaticBatch,Order,7,Name,nvarchar,512,False
FAKIEH_SERVER1,SimaticBatch,Order,8,CreationDateTime,datetimeoffset,9,False
FAKIEH_SERVER1,SimaticBatch,Order,9,EarliestDateTime,datetimeoffset,9,False
FAKIEH_SERVER1,SimaticBatch,Order,10,LatestDateTime,datetimeoffset,9,False
FAKIEH_SERVER1,SimaticBatch,Order,11,Quantity,float,8,False
FAKIEH_SERVER1,SimaticBatch,Order,12,Description,nvarchar,-1,True
FAKIEH_SERVER1,SimaticBatch,OrderCategory,1,OGUID,uniqueidentifier,16,False
FAKIEH_SERVER1,SimaticBatch,OrderCategory,2,OBJID,int,4,False
FAKIEH_SERVER1,SimaticBatch,OrderCategory,3,OTID,int,4,False
FAKIEH_SERVER1,SimaticBatch,OrderCategory,4,Name,nvarchar,512,False
FAKIEH_SERVER1,SimaticBatch,OrderCategory,5,CreationDateTime,datetimeoffset,9,False
FAKIEH_SERVER1,SimaticBatch,OrderCategory,6,Description,nvarchar,-1,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,1,ROOTGUID,uniqueidentifier,16,False
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,2,POBJID,int,4,False
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,3,POTID,int,4,False
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,4,P2OBJID,int,4,False
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,5,P2OTID,int,4,False
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,6,OBJID,int,4,False
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,7,ActivationCounter,int,4,False
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,8,EventID,bigint,8,False
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,9,TimeStamp,datetimeoffset,9,False
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,10,Name,nvarchar,512,False
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,11,EventNotifyType,int,4,False
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,12,UsageId,int,4,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,13,DataTypeId,int,4,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,14,DataTypeName,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,15,UoMId,int,4,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,16,UoMName,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,17,HighValue,float,8,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,18,LowValue,float,8,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,19,RecHighValue,float,8,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,20,RecLowValue,float,8,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,21,sp_float,float,8,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,22,asp_float,float,8,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,23,av_float,float,8,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,24,sp_int,int,4,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,25,asp_int,int,4,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,26,av_int,int,4,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,27,sp_string,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,28,asp_string,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,29,av_string,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,30,loc_unitallocname,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,31,loc_unitname,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,32,sp_locname,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,33,asp_locname,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,34,av_locname,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,35,sp_matname,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,36,sp_matcode,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,37,asp_matname,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,38,asp_matcode,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,39,av_matname,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,40,av_matcode,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,41,sp_EnumValue,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,42,asp_EnumValue,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,43,av_EnumValue,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,44,sp_Unit,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,45,asp_Unit,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,46,av_Unit,nvarchar,512,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,47,sp_prot,int,4,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,48,asp_prot,int,4,True
FAKIEH_SERVER1,SimaticBatch,ParValueOnline,49,av_prot,int,4,True
FAKIEH_SERVER2,SimaticBatch,Batch,1,ROOTGUID,uniqueidentifier,16,False
FAKIEH_SERVER2,SimaticBatch,Batch,2,ROOTOBJID,int,4,False
FAKIEH_SERVER2,SimaticBatch,Batch,3,ROOTOTID,int,4,False
FAKIEH_SERVER2,SimaticBatch,Batch,4,OGUID,uniqueidentifier,16,False
FAKIEH_SERVER2,SimaticBatch,Batch,5,OBJID,int,4,False
FAKIEH_SERVER2,SimaticBatch,Batch,6,OTID,int,4,False
FAKIEH_SERVER2,SimaticBatch,Batch,7,Created,datetimeoffset,9,False
FAKIEH_SERVER2,SimaticBatch,Batch,8,ExAttribute,nvarchar,-1,True
FAKIEH_SERVER2,SimaticBatch,Batch,9,Quantity,float,8,True
FAKIEH_SERVER2,SimaticBatch,Batch,10,ProductName,nvarchar,512,True
FAKIEH_SERVER2,SimaticBatch,Batch,11,ProductCode,nvarchar,512,True
