ID,Source Server,Batch GUID,ROOTGUID,OrderId,Batch Name,Product Name,Batch Act Start,Batch Act End,Batch Transfer Time,Quantity,Material Name,Material Code,SetPoint Float,Actual Value Float,FormulaCategoryName,sp_prot
1,Server1,583EF9EE-8583-4310-870A-008B1C6E5BCC,B2F676B8-EA69-4F9D-ADD4-086CB73D5056,918,FM LOT-867FM Ruminant 13% 08,FM Ruminant 13%,2025-03-28 07:23:34.330,2025-03-28 09:46:07.967,2025-03-28 09:47:11.823,6000,Availa Cr1000 Zinpro USA,100607,0.9,0.8600001,FeedMill_Hammer,203
2,Server1,583EF9EE-8583-4310-870A-008B1C6E5BCC,B2F676B8-EA69-4F9D-ADD4-086CB73D5056,918,FM LOT-867FM Ruminant 13% 08,FM Ruminant 13%,2025-03-28 07:23:34.330,2025-03-28 09:46:07.967,2025-03-28 09:47:11.823,6000,BARLEY,100334,225,219.7,FeedMill_Hammer,202
3,Server1,583EF9EE-8583-4310-870A-008B1C6E5BCC,B2F676B8-EA69-4F9D-ADD4-086CB73D5056,918,FM LOT-867FM Ruminant 13% 08,FM Ruminant 13%,2025-03-28 07:23:34.330,2025-03-28 09:46:07.967,2025-03-28 09:47:11.823,12000,Bran Pellets,200321,700,702.9,FeedMill_Hammer,202
4,Server1,583EF9EE-8583-4310-870A-008B1C6E5BCC,B2F676B8-EA69-4F9D-ADD4-086CB73D5056,918,FM LOT-867FM Ruminant 13% 08,FM Ruminant 13%,2025-03-28 07:23:34.330,2025-03-28 09:46:07.967,2025-03-28 09:47:11.823,6000,corn screening,100583,210,216.5,FeedMill_Hammer,202
5,Server1,583EF9EE-8583-4310-870A-008B1C6E5BCC,B2F676B8-EA69-4F9D-ADD4-086CB73D5056,918,FM LOT-867FM Ruminant 13% 08,FM Ruminant 13%,2025-03-28 07:23:34.330,2025-03-28 09:46:07.967,2025-03-28 09:47:11.823,6000,DDGS,100427,195,193.3,FeedMill_Hammer,202
6,Server1,583EF9EE-8583-4310-870A-008B1C6E5BCC,B2F676B8-EA69-4F9D-ADD4-086CB73D5056,918,FM LOT-867FM Ruminant 13% 08,FM Ruminant 13%,2025-03-28 07:23:34.330,2025-03-28 09:46:07.967,2025-03-28 09:47:11.823,6000,Limestone,100048,63.9,65.39999,FeedMill_Hammer,202
7,Server1,583EF9EE-8583-4310-870A-008B1C6E5BCC,B2F676B8-EA69-4F9D-ADD4-086CB73D5056,918,FM LOT-867FM Ruminant 13% 08,FM Ruminant 13%,2025-03-28 07:23:34.330,2025-03-28 09:46:07.967,2025-03-28 09:47:11.823,12000,Molasses,100085,120,120.2914,FeedMill_Hammer,NULL
8,Server1,583EF9EE-8583-4310-870A-008B1C6E5BCC,B2F676B8-EA69-4F9D-ADD4-086CB73D5056,918,FM LOT-867FM Ruminant 13% 08,FM Ruminant 13%,2025-03-28 07:23:34.330,2025-03-28 09:46:07.967,2025-03-28 09:47:11.823,6000,PMX 100331 Ruminant,100331,9,8.98,FeedMill_Hammer,204
9,Server1,583EF9EE-8583-4310-870A-008B1C6E5BCC,B2F676B8-EA69-4F9D-ADD4-086CB73D5056,918,FM LOT-867FM Ruminant 13% 08,FM Ruminant 13%,2025-03-28 07:23:34.330,2025-03-28 09:46:07.967,2025-03-28 09:47:11.823,6000,RAPSEED,100081,209.4,211.1,FeedMill_Hammer,202
10,Server1,583EF9EE-8583-4310-870A-008B1C6E5BCC,B2F676B8-EA69-4F9D-ADD4-086CB73D5056,918,FM LOT-867FM Ruminant 13% 08,FM Ruminant 13%,2025-03-28 07:23:34.330,2025-03-28 09:46:07.967,2025-03-28 09:47:11.823,6000,RICE HUSK,100317,600,594.8,FeedMill_Hammer,201
11,Server1,583EF9EE-8583-4310-870A-008B1C6E5BCC,B2F676B8-EA69-4F9D-ADD4-086CB73D5056,918,FM LOT-867FM Ruminant 13% 08,FM Ruminant 13%,2025-03-28 07:23:34.330,2025-03-28 09:46:07.967,2025-03-28 09:47:11.823,12000,SALT.,100051,28.8,28.61,FeedMill_Hammer,204
12,Server1,583EF9EE-8583-4310-870A-008B1C6E5BCC,B2F676B8-EA69-4F9D-ADD4-086CB73D5056,918,FM LOT-867FM Ruminant 13% 08,FM Ruminant 13%,2025-03-28 07:23:34.330,2025-03-28 09:46:07.967,2025-03-28 09:47:11.823,6000,Sodium Bicarbonate,100052,6,5.989999,FeedMill_Hammer,203
13,Server1,583EF9EE-8583-4310-870A-008B1C6E5BCC,B2F676B8-EA69-4F9D-ADD4-086CB73D5056,918,FM LOT-867FM Ruminant 13% 08,FM Ruminant 13%,2025-03-28 07:23:34.330,2025-03-28 09:46:07.967,2025-03-28 09:47:11.823,12000,Water,1001,45,39.43297,FeedMill_Hammer,100
14,Server1,583EF9EE-8583-4310-870A-008B1C6E5BCC,B2F676B8-EA69-4F9D-ADD4-086CB73D5056,918,FM LOT-867FM Ruminant 13% 08,FM Ruminant 13%,2025-03-28 07:23:34.330,2025-03-28 09:46:07.967,2025-03-28 09:47:11.823,6000,Wheat Bran,200223,632.9,619.9,FeedMill_Hammer,201
15,Server1,BCDEF3C7-D408-40C3-B689-02B00656FC8D,B064B490-901F-4B24-89FB-1FF5E6D64743,936,PMX lot0125PMX Layer Mash 24 2 4,PMX 100366 Layer Mash,2025-03-29 06:37:05.607,2025-03-29 10:02:25.797,2025-03-29 19:03:10.090,1000,AMA-Poultry,100517,8.35,8.370003,Premix,305
16,Server1,BCDEF3C7-D408-40C3-B689-02B00656FC8D,B064B490-901F-4B24-89FB-1FF5E6D64743,936,PMX lot0125PMX Layer Mash 24 2 4,PMX 100366 Layer Mash,2025-03-29 06:37:05.607,2025-03-29 10:02:25.797,2025-03-29 19:03:10.090,1000,Bacillus Blend,100559,1.5,1.600002,Premix,307
17,Server1,BCDEF3C7-D408-40C3-B689-02B00656FC8D,B064B490-901F-4B24-89FB-1FF5E6D64743,936,PMX lot0125PMX Layer Mash 24 2 4,PMX 100366 Layer Mash,2025-03-29 06:37:05.607,2025-03-29 10:02:25.797,2025-03-29 19:03:10.090,1000,Beta Mannanese,100511,9.25,9.260002,Premix,304
18,Server1,BCDEF3C7-D408-40C3-B689-02B00656FC8D,B064B490-901F-4B24-89FB-1FF5E6D64743,936,PMX lot0125PMX Layer Mash 24 2 4,PMX 100366 Layer Mash,2025-03-29 06:37:05.607,2025-03-29 10:02:25.797,2025-03-29 19:03:10.090,1000,Betafin S6,100107,5,5.119999,Premix,304
19,Server1,BCDEF3C7-D408-40C3-B689-02B00656FC8D,B064B490-901F-4B24-89FB-1FF5E6D64743,936,PMX lot0125PMX Layer Mash 24 2 4,PMX 100366 Layer Mash,2025-03-29 06:37:05.607,2025-03-29 10:02:25.797,2025-03-29 19:03:10.090,1000,Carrophyl Red 10%,100078,2.85,2.839,Premix,302
20,Server1,BCDEF3C7-D408-40C3-B689-02B00656FC8D,B064B490-901F-4B24-89FB-1FF5E6D64743,936,PMX lot0125PMX Layer Mash 24 2 4,PMX 100366 Layer Mash,2025-03-29 06:37:05.607,2025-03-29 10:02:25.797,2025-03-29 19:03:10.090,1000,Carrophyl Yellow,100079,0.25,0.2600021,Premix,307
21,Server1,BCDEF3C7-D408-40C3-B689-02B00656FC8D,B064B490-901F-4B24-89FB-1FF5E6D64743,936,PMX lot0125PMX Layer Mash 24 2 4,PMX 100366 Layer Mash,2025-03-29 06:37:05.607,2025-03-29 10:02:25.797,2025-03-29 19:03:10.090,1000,Choline Chloride,100108,47.5,47.5,Premix,307
22,Server1,BCDEF3C7-D408-40C3-B689-02B00656FC8D,B064B490-901F-4B24-89FB-1FF5E6D64743,936,PMX lot0125PMX Layer Mash 24 2 4,PMX 100366 Layer Mash,2025-03-29 06:37:05.607,2025-03-29 10:02:25.797,2025-03-29 19:03:10.090,1000,Copper Oxychloride,100075,0.5,0.5199966,Premix,307
23,Server1,BCDEF3C7-D408-40C3-B689-02B00656FC8D,B064B490-901F-4B24-89FB-1FF5E6D64743,936,PMX lot0125PMX Layer Mash 24 2 4,PMX 100366 Layer Mash,2025-03-29 06:37:05.607,2025-03-29 10:02:25.797,2025-03-29 19:03:10.090,1000,D Biotin 2%,100102,0.33,0.309,Premix,302
