Source Server,Batch GUID,ROOTGUID,OrderId,Batch Name,Product Name,Batch Act Start,Batch Act End,Batch Transfer Time,Quantity,Material Name,Material Code,sp_prot,SetPoint Float,Actual Value Float,FormulaCategoryName
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,HY-Bond,111,1,8,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Maize,100,1,4907.2,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,HERBIN,149,1,3.2,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Broiler Mineral Mix,31,100,7.2,4.0653939,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,L-VALINE 98%,72,1,4,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,L Threonine,60,1,10.4,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Broiler Starter PX,69,1,7.2,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Salt,202,1,20,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Monocalcium Phos,204,100,44,23.148152,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,L Isoleucine,73,1,2.4,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,TermiN-8,33,100,4,0,Production Recipes
